SAMPLE_ID	mutations
brca_smc_2018_BB01_002	WXS
brca_smc_2018_BB01_004	WXS
brca_smc_2018_BB01_005	WXS
brca_smc_2018_BB01_006	WXS
brca_smc_2018_BB01_007	WXS
brca_smc_2018_BB01_008	WXS
brca_smc_2018_BB01_009	WXS
brca_smc_2018_BB01_010	WXS
brca_smc_2018_BB01_011	WXS
brca_smc_2018_BB01_012	WXS
brca_smc_2018_BB01_013	WXS
brca_smc_2018_BB01_014	WXS
brca_smc_2018_BB01_015	WXS
brca_smc_2018_BB01_016	WXS
brca_smc_2018_BB01_017	WXS
brca_smc_2018_BB01_018	WXS
brca_smc_2018_BB01_019	WXS
brca_smc_2018_BB01_022	WXS
brca_smc_2018_BB01_023	WXS
brca_smc_2018_BB01_024	WXS
brca_smc_2018_BB01_026	WXS
brca_smc_2018_BB01_027	WXS
brca_smc_2018_BB01_028	WXS
brca_smc_2018_BB01_029	WXS
brca_smc_2018_BB01_030	WXS
brca_smc_2018_BB01_031	WXS
brca_smc_2018_BB01_034	WXS
brca_smc_2018_BB01_035	WXS
brca_smc_2018_BB01_036	WXS
brca_smc_2018_BB01_037	WXS
brca_smc_2018_BB01_039	WXS
brca_smc_2018_BB01_040	WXS
brca_smc_2018_BB01_041	WXS
brca_smc_2018_BB01_044	WXS
brca_smc_2018_BB01_045	WXS
brca_smc_2018_BB01_046	WXS
brca_smc_2018_BB01_047	WXS
brca_smc_2018_BB01_049	WXS
brca_smc_2018_BB01_051	WXS
brca_smc_2018_BB01_053	WXS
brca_smc_2018_BB01_055	WXS
brca_smc_2018_BB01_059	WXS
brca_smc_2018_BB01_061	WXS
brca_smc_2018_BB01_062	WXS
brca_smc_2018_BB01_067	WXS
brca_smc_2018_BB01_068	WXS
brca_smc_2018_BB01_074	WXS
brca_smc_2018_BB01_078	WXS
brca_smc_2018_BB01_079	WXS
brca_smc_2018_BB01_080	WXS
brca_smc_2018_BB01_081	WXS
brca_smc_2018_BB01_086	WXS
brca_smc_2018_BB01_088	WXS
brca_smc_2018_BB01_090	WXS
brca_smc_2018_BB01_094	WXS
brca_smc_2018_BB01_099	WXS
brca_smc_2018_BB01_103	WXS
