,,0
PIK3CA,TP53,27
TP53,TTN,15
PIK3CA,TTN,10
MUC16,TP53,8
NF1,PIK3CA,6
SYNE1,TP53,6
NF1,TP53,6
TP53,UBR4,6
MAP3K1,PIK3CA,6
FLG,TP53,5
MUC4,TP53,5
ANK3,TP53,5
NF1,TTN,5
LRP1B,TP53,5
NEB,TP53,5
PKHD1,TP53,5
TP53,TPR,4
PHACTR3,TP53,4
BIRC6,TP53,4
DST,TP53,4
MAML3,TP53,4
PIK3CA,SYNE2,4
MXRA5,TP53,4
ABCA6,TP53,4
TTN,USH2A,4
DMD,TP53,4
NOTCH3,TP53,4
SYNE2,TP53,4
TP53,USH2A,4
PKHD1L1,TP53,4
CCDC73,TP53,4
JADE3,TP53,4
CSMD3,TP53,4
NEFH,PIK3CA,4
NEFH,TP53,4
KIF1A,TP53,4
PRKDC,TP53,4
FLNC,TP53,4
APOB,TP53,4
DNAH9,TP53,3
MYH11,TTN,3
OVCH1,TP53,3
SCAF1,TP53,3
DST,UBR4,3
RYR2,TTN,3
KIF4B,TP53,3
NPAS4,TP53,3
COL6A6,TP53,3
FLG,PIK3CA,3
TP53,ZNF844,3
ASPM,TP53,3
MUSK,TP53,3
TP53,ZFC3H1,3
KALRN,PIK3CA,3
TP53,UNC79,3
CACNA1H,TP53,3
KALRN,TP53,3
GPRIN1,TP53,3
MYOM1,TP53,3
DHX34,TP53,3
SYNE1,TTN,3
KLHL4,TP53,3
TP53,UBR5,3
KIF5A,TP53,3
ATM,TP53,3
DNM3,TP53,3
TP53,ZNF536,3
TP53,TRIP11,3
AK7,TP53,3
DMBT1,TP53,3
HUWE1,TP53,3
PC,TP53,3
NBEAL2,TP53,3
GREB1L,TP53,3
SAMD9L,TP53,3
GRID1,PIK3CA,3
ANKRD29,TTN,3
PTPRZ1,TP53,3
ATXN1,TP53,3
SEMA3A,TP53,3
DNAH10,TP53,3
SPTA1,TP53,3
GATA3,TTN,3
C5,TP53,3
C9orf43,TP53,3
HMCN1,TP53,3
NEFH,TTN,3
LTBP3,TP53,3
DHX34,TTN,3
ANK3,LRP1B,3
SMARCA4,TP53,3
FARP1,TP53,3
SETD2,TP53,3
ITPR2,TP53,3
TCHH,TP53,3
SLC25A27,TP53,3
HCFC1,TP53,3
DLG3,TP53,3
ARID1A,GATA3,3
ASXL2,TP53,3
TDRD15,TP53,3
DOCK11,TP53,3
DNAH12,TP53,3
MYO5A,USH2A,3
MDN1,TP53,3
CACNA1A,TP53,3
GLTSCR1,TP53,3
ERAP2,TP53,3
KIAA2026,TP53,3
CIC,PIK3CA,3
PIK3CA,TCHH,3
SPEN,TP53,3
KIAA1109,TP53,3
GOLGB1,TP53,3
ABCA13,TP53,3
SPAG9,TP53,3
OBSCN,TP53,3
NEB,TTN,3
CIC,TP53,3
CNTNAP4,TP53,3
DSP,TP53,3
TACR3,TP53,3
JAK3,TP53,3
BIRC6,JADE3,3
TCHHL1,TP53,3
COL6A5,TP53,3
CAD,TP53,3
KMT2D,TP53,3
CDC42BPG,TP53,3
KIAA2018,PIK3CA,3
KIAA2018,TP53,3
KIAA2018,TTN,3
CDH9,TP53,3
NHS,TP53,3
PDZD2,TP53,3
BIRC6,UBR4,3
SOGA1,TP53,3
MDN1,RADIL,3
MOV10L1,TP53,3
TM7SF3,TP53,3
COL4A6,NEFH,3
ADCY2,CSMD3,3
ATP2B2,TP53,3
SMARCA4,UBR4,3
TMPRSS13,TP53,3
PIK3CA,SPTA1,3
PRDM9,TP53,3
PIK3CA,ZNF329,3
CSMD3,MEGF6,3
DIP2A,TP53,3
MEGF6,TP53,3
FARP1,TTN,3
DSPP,TP53,3
HCK,TP53,3
SPTB,TP53,3
CXorf66,TP53,3
APOB,PIK3CA,3
CCDC150,PIK3CA,3
CDH1,PIK3CA,3
CLTCL1,TP53,3
ARHGAP29,TP53,3
MAML3,PIK3CA,3
ATM,TTN,2
MUC16,SMEK2,2
OR52J3,SSH1,2
C3,THSD7B,2
BIRC6,CIC,2
C4BPB,TP53,2
SPEN,TRIP11,2
DIEXF,HECW2,2
FAM65C,TP53,2
TCHH,TTN,2
ARID4A,OSBPL5,2
USH2A,WNK3,2
CCNB3,LRP1B,2
DNAH6,KIAA1244,2
DNAH11,HUWE1,2
TNR,TP53,2
STAG3,WDR44,2
HCK,PIK3CA,2
DNAH11,SH3YL1,2
MARK2,SYNE1,2
COL22A1,PPFIA2,2
GATA3,KIAA0368,2
CCDC18,UGGT2,2
SHPRH,TP53,2
TP53,ZCCHC6,2
MARK2,TP53,2
AVL9,GABRR1,2
CLGN,MUC16,2
HTR5A,PIK3CA,2
PHLPP1,TP53,2
CCDC18,USH2A,2
CCDC18,USP9X,2
GAS1,SYNE2,2
CAP2,TP53,2
CDK13,TP53,2
KIF14,TP53,2
GATA3,SDK1,2
KIF18A,MAEL,2
DICER1,KIAA0556,2
ARSF,BRCA2,2
C9orf43,DGKD,2
ASPM,TTN,2
CSF1R,TP53,2
KIF5A,PIK3CA,2
KIAA0100,TP53,2
AVL9,TP53,2
SLC17A3,TP53,2
AP5B1,CRIM1,2
MADD,TP53,2
SPTBN5,TP53,2
LRIT1,NEB,2
CAP2,PIK3CA,2
NOVA2,ZNF541,2
PCDH17,TP53,2
COL4A6,GATA3,2
PPP1R3A,TP53,2
PLEK,TP53,2
TP53,TRRAP,2
KIF18A,TP53,2
KIAA1324L,TP53,2
AHNAK,PIK3CA,2
AP5B1,DOCK2,2
ELF4,SAMD9L,2
ANK3,ATM,2
ARID1A,CUL5,2
TP53,ZNF217,2
PIK3CA,PRB2,2
ETFA,KMT2C,2
TP53,ZNFX1,2
BLM,HRG,2
MAP3K1,MIA3,2
B4GALNT4,ZHX1,2
OCRL,SAMD9L,2
MAP1B,MARCKS,2
PRB2,TTN,2
HMCN1,TTN,2
DSP,TTN,2
SMARCAL1,TTN,2
BAI1,SEC31A,2
COL4A6,RYR2,2
SFPQ,ZSWIM6,2
OCRL,TP53,2
MAP3K1,MYO5A,2
ARID4B,MYOC,2
SLC1A7,TP53,2
ATM,PIK3CA,2
IGFN1,NF1,2
OCRL,USH2A,2
TP53,ZMYM4,2
BAX,TP53,2
DICER1,SLC17A3,2
PPP2R3A,RASGRP4,2
NCAN,TP53,2
MAP1B,PIK3CA,2
DIEXF,NOVA2,2
B3GNT4,TP53,2
IVL,TP53,2
BIRC6,PIK3CA,2
TMEM131,TP53,2
CHAT,CLIC6,2
MAP1B,PPP2R3A,2
AP5B1,MADD,2
LRP5,TP53,2
DICER1,TP53,2
CPEB2,KLK4,2
GOLGB1,PHACTR3,2
THOC2,TP53,2
CHAT,KIAA1244,2
MYO5A,NF1,2
CBFB,GATA3,2
CCNB3,TP53,2
TP53,TRPM8,2
MAP1B,RASGRP4,2
MYH11,NEB,2
TP53,TTLL8,2
TP53,USP24,2
CHAT,OCRL,2
AC083862.1,DENND2A,2
KLK4,SPESP1,2
TP53,WDR44,2
ASXL2,NALCN,2
KLK4,TP53,2
AR,SETD2,2
MYO9A,TP53,2
AR,TP53,2
AR,TTN,2
CBFB,TP53,2
OR1M1,USH2A,2
CPEB2,SPESP1,2
CRIM1,DOCK2,2
GOLGB1,TTN,2
MTHFD1L,TBXA2R,2
CPEB2,TP53,2
CHAT,SAMD9L,2
RYR2,TP53,2
ARSF,CSMD3,2
ADCY2,KIF20B,2
GATA3,SEC63,2
EED,PIK3CA,2
BIRC6,SLC24A3,2
ANK3,GLTSCR1,2
ANK3,LRIT3,2
CSMD3,IVL,2
MAGEA12,PTPN13,2
CHAT,TP53,2
BICD2,PIK3CA,2
GPRIN1,PIK3CA,2
CLVS2,OVCH1,2
MAP3K1,SPATS2L,2
CACNA1H,DACT2,2
ABCA12,NID1,2
CHAT,USH2A,2
AC083862.1,DUSP18,2
CLVS2,PKHD1,2
ATM,ZCCHC8,2
CLVS2,PPP1R3A,2
ARID4B,SUV39H1,2
PPP2R3A,TP53,2
HECW2,NOVA2,2
CAPSL,IQGAP1,2
EPS8L3,TP53,2
CDH4,ECT2L,2
PPP2R3A,TTN,2
FMN1,TOP2B,2
ITGA4,TP53,2
PPP2R3A,USH2A,2
HECTD3,TP53,2
DIEXF,PPFIA2,2
ARID4B,TTN,2
DLEC1,TP53,2
AKAP9,TP53,2
CALB2,JADE3,2
DUSP28,PIK3CA,2
MAP1B,TP53,2
IGFN1,TP53,2
NOTCH3,RIPK2,2
C10orf71,PIK3CA,2
MAP1B,TTN,2
PKHD1,TRPM8,2
NFE2L3,TP53,2
MAP3K1,TTN,2
CRIM1,MADD,2
MAP1B,USH2A,2
C10orf71,TP53,2
PRUNE2,TP53,2
PPP1R10,TP53,2
MAP3K1,USH2A,2
DHX34,KIAA1109,2
FLII,USH2A,2
CDH9,JADE3,2
SYNE1,ZNF536,2
AP5B1,TP53,2
NCOR2,PIK3CA,2
DOPEY2,PIK3CA,2
SCMH1,TP53,2
NUP98,TP53,2
TP53,ZNF841,2
ANK3,SEC31A,2
DENND2A,DUSP18,2
KIAA1109,TTN,2
TP53,ZCWPW1,2
ARID4B,ZNFX1,2
SBK2,TP53,2
BNC2,DMXL1,2
GAS1,PIK3CA,2
SBK2,TTN,2
HEPH,TP53,2
MAEL,TP53,2
CLVS2,TP53,2
HEPH,TTN,2
COL5A3,POP1,2
FBXO3,NES,2
AC083862.1,HIVEP3,2
CALB2,TP53,2
CACNA1E,GATA3,2
CALB2,UBR4,2
MARCKS,PIK3CA,2
FOXP4,TP53,2
COL1A1,ZNF654,2
RASAL2,WWP1,2
HYDIN,KRT9,2
MARCKS,PPP2R3A,2
COL5A3,SCN1A,2
KMT2C,TP53,2
LRP2,TTN,2
TP53,TRERF1,2
PCDHA5,TP53,2
HSPG2,PLEC,2
PPP6R2,TP53,2
PKD1L1,TP53,2
TRRAP,ZNFX1,2
CAMSAP2,PIK3CA,2
C5,PIK3CA,2
ESPL1,TP53,2
KIAA0556,SLC17A3,2
HECW2,PPFIA2,2
MARCKS,RASGRP4,2
CAMSAP2,TP53,2
CDH9,PKHD1,2
GATA3,TP53,2
DUSP28,TP53,2
TP53,ZC3H4,2
CSMD3,FLII,2
MYO5A,PDZD2,2
TIE1,TTN,2
CLMN,PRKDC,2
EPHB2,TP53,2
KIAA0556,TP53,2
MYH11,TP53,2
C11orf80,HUWE1,2
FTCD,PIK3CA,2
MCM2,PELI2,2
CDH23,PKHD1,2
FBXO3,OR10A4,2
SSTR4,TP53,2
MCM2,PSD3,2
CCDC40,TP53,2
THNSL1,TP53,2
DIEXF,TIE1,2
DENND2A,HIVEP3,2
CRIM1,TP53,2
GATA3,RYR2,2
EYS,TP53,2
CRIM1,TTN,2
HIVEP3,SPTBN5,2
DCHS2,DLG3,2
GABRR1,TP53,2
CRIM1,USH2A,2
PBRM1,TP53,2
MYOM1,UNC79,2
MARCKS,TP53,2
ATM,GLTSCR1,2
CBFB,PIK3CA,2
GRID1,TCHH,2
MARCKS,TTN,2
ATP10A,NALCN,2
GDF2,TP53,2
ABCA12,TP53,2
MARCKS,USH2A,2
CDH9,TTN,2
CAPSL,TTN,2
SOS1,TP53,2
BLK,NID1,2
GRID1,TP53,2
THSD7B,TP53,2
CDHR2,ZC3H7A,2
GRIK4,PIK3CA,2
TLR7,TP53,2
KIAA0196,TP53,2
HIVEP3,TP53,2
GOLGB1,GPR111,2
DNAH10,FOXC1,2
GRIK4,TP53,2
C11orf80,TP53,2
GRID1,USH2A,2
CDK12,TP53,2
SPATS2L,TTN,2
DIEXF,TTN,2
DIDO1,FCAMR,2
PIK3CA,TPR,2
CAPSL,YTHDC1,2
HDAC9,PIK3CA,2
GOLGB1,MARK2,2
PSMD9,TP53,2
SPATS2L,USH2A,2
KIF1A,TTN,2
NOTCH3,ZNF841,2
COL6A6,TTN,2
LY75-CD302,PIK3CA,2
TET1,TP53,2
CDH23,TP53,2
CACNA1G,TP53,2
ABCA6,ZC3H7A,2
SEMA4D,SPTA1,2
TIE1,ZNF541,2
IGFN1,KIAA2018,2
SF3B2,TTN,2
KIF20B,SGPL1,2
HECW2,TIE1,2
ATM,SEC31A,2
KIAA0195,MYO5A,2
PELI2,PSD3,2
TP53,VEGFA,2
MUC16,PIK3CA,2
CCDC63,VPS13D,2
TENM4,ZFHX3,2
PEG3,TP53,2
FAT3,TONSL,2
DIEXF,ZNF541,2
FOXRED2,TP53,2
DAPK1,TP53,2
DAPK1,TTN,2
GOLGB1,SYNE1,2
CLMN,TTN,2
C11orf80,TTN,2
TP53,TTLL6,2
HECW2,TTN,2
TP53,UTRN,2
OR2M2,TP53,2
EYA4,MAGEA12,2
CCDC18,CSMD3,2
TP53,ZFHX3,2
TTN,UTRN,2
PCNT,TTC40,2
CXorf38,VIL1,2
C1S,RPRD1B,2
SLC35A2,SYNE1,2
KIAA0195,NF1,2
BOC,GABPB2,2
CCDC18,SH3YL1,2
KNDC1,TP53,2
MYO5A,RNF14,2
LRRIQ1,TP53,2
GPR149,TTN,2
DMRTA1,TP53,2
SLC35A2,TP53,2
AREL1,TP53,2
MUC1,WWP1,2
GPR111,MARK2,2
CSMD3,KCNMA1,2
BLK,TP53,2
ANK3,DNAH10,2
EYA4,PTPN13,2
DBX2,PIK3CA,2
SRBD1,ZBTB10,2
DBX2,PODXL2,2
C1S,WDR62,2
ARID4B,PIK3CA,2
CSMD3,PAPD4,2
AKT1,GATA3,2
DBX2,TDRD15,2
CSMD3,KIAA0195,2
DBX2,TP53,2
NCOR1,POP1,2
DMBT1,KMT2C,2
ARHGAP31,KMT2D,2
ABCA6,PIK3CA,2
MUC16,ZNF536,2
FAT3,SLITRK3,2
NEO1,TP53,2
NEO1,TTN,2
MUC16,MYO15A,2
ATRX,NES,2
IGFN1,TTN,2
DNAH3,TP53,2
HECW2,ZNF541,2
DNM2,FASN,2
FAT3,TTC40,2
LRRC25,TP53,2
DNAH6,PTPRZ1,2
CSMD3,KIF20B,2
CYP26A1,MUC16,2
IGF2R,TP53,2
CASS4,COL6A5,2
ARHGAP31,TP53,2
GPR111,SYNE1,2
ABCA13,ZNF536,2
EPB41L4B,TP53,2
ASXL2,ATP10A,2
GPR111,TP53,2
GCK,TP53,2
MAPK4,PIK3CA,2
MUC16,PTCH1,2
FOXC1,HUWE1,2
ELF4,TP53,2
COL6A5,SAMD9L,2
DNM2,SYNE2,2
KIAA0195,PDZD2,2
STARD9,UBR5,2
TCHH,TTC30B,2
POP1,SCN1A,2
NF1,UBR5,2
EYA1,HYDIN,2
GOLM1,PIK3CA,2
PREX2,TP53,2
AC083862.1,TTN,2
GRIN2B,TP53,2
SPESP1,TP53,2
MUC16,SMARCAL1,2
RNF14,USH2A,2
ARID4A,GATA3,2
ADCY2,SGPL1,2
MUC16,SRBD1,2
FMN1,PIK3CA,2
CCDC18,FLII,2
ARHGAP36,DSP,2
BOC,TACR3,2
BOC,TP53,2
NCOA3,NEB,2
ABCA6,HCFC1,2
SZT2,TP53,2
FLG,MXRA5,2
PDZD2,RNF14,2
CSMD3,MYO5A,2
BRCA2,CSMD3,2
ARID4A,RBL2,2
HECW2,MAP3K1,2
OVCH1,PKHD1,2
MUC16,TTN,2
OVCH1,PPP1R3A,2
DNAH11,SYNE2,2
CD207,TP53,2
HERC3,TP53,2
TP53,WDR65,2
CEP85L,TP53,2
PKD1L2,SYNE1,2
HECW2,SPTBN5,2
HCFC1,PIK3CA,2
ABCA6,ZRANB3,2
PKD1L2,TP53,2
CSMD3,NF1,2
TTN,ZNF844,2
MUC16,ZBTB10,2
DNM3,KIAA1033,2
RAD54B,UBR4,2
KIAA1033,PIK3CA,2
CDH23,CLASP2,2
DENND2A,TTN,2
FOCAD,SHANK2,2
SLC9A7,TTN,2
TP53,ZNF764,2
CNTN1,PIK3CA,2
CCDC57,TP53,2
BRCA2,GRID1,2
DNAH11,NPDC1,2
ASXL2,PDZD2,2
PTPRO,TP53,2
NF1,PDZD2,2
ISL1,PIK3CA,2
CSMD3,OR10G3,2
RGSL1,SGPL1,2
DSC1,TP53,2
NVL,TP53,2
KIAA0195,RNF14,2
ISL1,TP53,2
RANBP2,UBR5,2
DUSP18,HIVEP3,2
ARHGAP36,PIK3CA,2
NVL,TTLL8,2
GRIPAP1,PKD1L2,2
CDH23,RELN,2
PKDREJ,TP53,2
CDHR2,ZRANB3,2
CSMD3,PIK3CA,2
PDE3B,TP53,2
C12orf55,PEG3,2
KIAA1033,SLITRK4,2
TP53,TTC30B,2
DNM3,PIK3CA,2
