,0
TP53,89
PIK3CA,53
GATA3,23
TTN,23
MUC16,12
CSMD3,9
MAP3K1,9
MAML3,8
APOB,7
KMT2C,7
SYNE1,7
NF1,7
MUC4,7
ARID1A,7
UBR4,7
NEB,7
PKHD1,6
PTEN,6
LRP1B,6
ZNF536,6
USH2A,6
NEFH,6
NES,5
CBFB,5
NPAS4,5
OBSCN,5
BIRC6,5
PRKDC,5
DMD,5
ABCA13,5
SPTBN5,5
SPTA1,5
PHACTR3,5
PKHD1L1,5
COL4A6,5
SYNE2,5
TCHH,5
MXRA5,5
FAT3,5
FLG,5
ZNF469,5
CSMD1,5
CDH23,5
AKT1,5
ANK3,5
KIF1A,5
HUWE1,5
HMCN1,5
ATXN1,5
RYR2,5
GRID1,4
FARP1,4
SLC25A27,4
TPR,4
ZNFX1,4
ITPR2,4
ABCA6,4
GOLGA6L2,4
CLTCL1,4
TMPRSS13,4
DNAH10,4
DMXL1,4
COL5A3,4
ATP2B2,4
HOMEZ,4
CDH1,4
HYDIN,4
DST,4
GPRIN1,4
ADCY2,4
UBR5,4
JADE3,4
UNC79,4
MDN1,4
KMT2D,4
DOCK11,4
DLG3,4
TTC40,4
MUC5B,4
CCDC73,4
TCHHL1,4
MYO15A,4
TENM3,4
FLNC,4
ZFHX3,4
XIRP2,4
CACNA1A,4
CACNA1H,4
STARD9,4
NHS,4
C9orf43,4
NOTCH3,4
PDZD2,4
AR,4
SMARCA4,4
BRCA2,4
PLEC,4
PSD3,4
ASXL2,4
ATM,4
WDR62,3
HECW2,3
SETD2,3
GREB1L,3
HCK,3
HCFC1,3
COL22A1,3
COL1A1,3
COL17A1,3
AGAP2,3
VCL,3
VCAN,3
COL12A1,3
COL11A2,3
CNTNAP4,3
CHAT,3
CIC,3
INPPL1,3
IFIH1,3
IGFN1,3
HIVEP3,3
HRG,3
AGXT,3
UNC80,3
HELZ,3
KIAA1109,3
KIAA1324L,3
KIAA1244,3
KALRN,3
KCNN3,3
ITPR1,3
ITGB4,3
JAK3,3
UGGT2,3
CHD8,3
KIF13B,3
KIF11,3
KIAA2026,3
KIAA2018,3
KIF5A,3
KIF4B,3
AK7,3
AHNAK2,3
TROAP,3
TRIP11,3
TRRAP,3
KIF20B,3
CDON,3
KIAA0100,3
KDM5B,3
LAMA2,3
LCT,3
CDC42BPG,3
KLHL4,3
TNXB,3
KRTAP4-8,3
CDK13,3
CDH9,3
MDGA2,3
CCNB3,3
LTBP3,3
MACF1,3
MAP2K4,3
LOXHD1,3
ALMS1,3
TMEM132C,3
LRP2,3
CUBN,3
COL6A6,3
COL6A5,3
GOLGB1,3
GFRA2,3
GLI2,3
GLDC,3
GLTSCR1,3
FOXP4,3
FSIP2,3
VPS13D,3
LRIT1,3
CDH4,3
CCDC18,3
MUSK,3
MUC7,3
MEGF6,3
MED12L,3
MED1,3
MARCKS,3
TENM2,3
ANKRD29,3
ANKRD17,3
THSD7B,3
TIE1,3
ASPM,3
MAPK4,3
MYH6,3
MYH11,3
MYH1,3
CCDC150,3
MOV10L1,3
MROH2B,3
CCDC40,3
TM7SF3,3
ANKRD12,3
TBC1D8,3
TDRD15,3
DKK3,3
NBEAL2,3
NAV2,3
NCOR2,3
NCOR1,3
NCOA3,3
ZNF844,3
MYOM1,3
MYO5A,3
MYO3A,3
TET1,3
ABCA5,3
ZFC3H1,3
DAPK1,3
DIP2A,3
CRIM1,3
FAT2,3
FAT1,3
FASN,3
DNAH12,3
ACACB,3
WWP1,3
DMBT1,3
TACR3,3
SZT2,3
CCDC108,3
DNM3,3
CAMSAP2,3
CAD,3
DOPEY2,3
TAS1R1,3
SSTR4,3
SSH1,3
SEC31A,3
NINL,3
DSPP,3
OVCH1,3
C5,3
C3,3
DSP,3
CACNA1E,3
NOVA2,3
DYNC1H1,3
SPAG9,3
SOX10,3
SPEN,3
SPATS2L,3
SPTB,3
DNAH9,3
PHRF1,3
PHKA1,3
PHF2,3
PIK3C2B,3
PC,3
PCDHA9,3
PCDHGB7,3
DNAH7,3
DNAH6,3
PCNT,3
PDE3B,3
DOCK9,3
BRAF,3
PRDM9,3
PRRC2A,3
BNC2,3
PPP1CB,3
PPFIA2,3
ZIC4,3
SOGA1,3
ARHGAP29,3
ARHGAP21,3
ARSF,3
SLC35F3,3
POP1,3
PKD1L2,3
RBL2,3
RELN,3
RGSL1,3
BCAM,3
PTPRZ1,3
RADIL,3
ZHX1,3
PRUNE2,3
ARID4B,3
ARID4A,3
VPS13C,3
DENND2A,3
RNF213,3
SETD1B,3
SCAF1,3
SDK1,3
ATRX,3
SAMD9L,3
BAI1,3
SLC2A8,3
VWDE,3
SGSM2,3
SGPL1,3
SEMA4D,3
SEMA3A,3
ZNF654,3
DIDO1,3
SHANK2,3
SH3YL1,3
DHX34,3
CTCF,3
CXorf67,3
CXorf66,3
FAM124B,3
F5,3
FAM135B,3
ERBB2,3
ERAP2,3
EPS8L3,3
EYS,3
EPHB2,3
EPHA5,3
ZNF329,3
DGKZ,2
ABCC3,2
ZRANB3,2
AACS,2
DNM2,2
ZNF217,2
ZNF248,2
ZNF256,2
ZNF117,2
ZNF131,2
ZNF174,2
ZFYVE9,2
ZKSCAN8,2
ZMYM4,2
ZSWIM6,2
DLGAP3,2
DLGAP4,2
ABCA10,2
DOCK2,2
DNAH3,2
SALL4,2
ATP10A,2
ATP12A,2
SF3B2,2
SEMA6A,2
SEC63,2
SELE,2
SELP,2
SEMA5A,2
ATP7B,2
SCN1A,2
SHPRH,2
SHROOM2,2
SI,2
SIDT2,2
SIGLEC12,2
RPAP1,2
RPGR,2
AVL9,2
B3GNT4,2
SCN4A,2
SCN5A,2
SCN7A,2
SCUBE2,2
SCYL3,2
SASH1,2
SBK2,2
SCAPER,2
SCMH1,2
RXFP3,2
RYR1,2
RYR3,2
RLIM,2
RNF14,2
RICTOR,2
RIMS2,2
RIPK2,2
BAG5,2
BAI3,2
ATR,2
ATXN7L1,2
RUNX1,2
RPRD1B,2
RPRM,2
